employee_id,review_period,overall_rating,goal_completion_pct,manager_notes,throughput_consistency,scope_of_impact,cycle_time,change_failure_rate,review_influence_index,ai_tool_penetration,slo_health,knowledge_contribution_rate,say_do_ratio,innovation_vs_maintenance_ratio
E001,2025-Q3,4.0,100.0,Outstanding quarter. Consistently raised the bar and delivered exceptional results across all commitments.,,,,,,62.3,98.13,12.0,83.2,0.56
E001,2025-Q4,4.0,81.6,Outstanding quarter. Consistently raised the bar and delivered exceptional results across all commitments.,,,,,,70.2,98.33,7.0,77.5,1.02
E001,2026-Q1,4.5,97.7,Exceptional performance — drove several critical initiatives and demonstrated strong leadership presence.,,,,,,77.6,98.67,12.0,101.3,0.96
E002,2025-Q3,3.5,80.6,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,,,,,,66.6,97.03,9.0,90.4,1.18
E002,2025-Q4,4.0,72.1,Remarkable quarter. Exceeded every target and showed the kind of impact we expect at the next level.,,,,,,55.6,96.22,5.0,90.6,1.26
E002,2026-Q1,3.5,83.6,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,,,,,,70.6,97.42,11.0,93.2,0.93
E003,2025-Q3,4.0,76.2,One of our top contributors. Showed great initiative and helped unblock multiple teams.,,,,,,58.9,97.57,11.0,109.8,0.52
E003,2025-Q4,4.0,79.7,Outstanding quarter. Consistently raised the bar and delivered exceptional results across all commitments.,,,,,,65.0,95.8,11.0,91.2,0.81
E003,2026-Q1,4.0,82.8,Outstanding quarter. Consistently raised the bar and delivered exceptional results across all commitments.,,,,,,69.4,97.77,10.0,98.9,1.46
E004,2025-Q3,3.5,70.2,Good progress this quarter. Met key commitments and is developing well in the role.,0.848,8.0,5.7,8.3,13.0,,,,,
E004,2025-Q4,4.0,100.0,One of our top contributors. Showed great initiative and helped unblock multiple teams.,0.913,8.0,6.0,4.3,14.0,,,,,
E004,2026-Q1,3.5,84.5,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.786,3.0,3.4,7.3,11.0,,,,,
E005,2025-Q3,3.0,84.8,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.772,6.0,5.2,9.7,10.0,,,,,
E005,2025-Q4,2.5,67.3,Developing in the role. Good technical skills but needs support in communication and planning accuracy.,0.718,5.0,10.4,13.2,12.0,,,,,
E005,2026-Q1,2.5,74.6,Mixed results this quarter. Bright spots but missed some key delivery milestones. Action plan in place.,0.772,4.0,5.3,13.8,5.0,,,,,
E006,2025-Q3,3.0,84.7,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,0.806,6.0,5.3,13.4,4.0,,,,,
E006,2025-Q4,3.0,60.1,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.745,8.0,7.1,8.4,5.0,,,,,
E006,2026-Q1,2.5,65.7,Working to build consistency in delivery. Has potential but needs to focus on execution and follow-through.,0.797,4.0,7.2,7.8,7.0,,,,,
E007,2025-Q3,3.5,81.3,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,0.905,7.0,6.1,6.6,14.0,,,,,
E007,2025-Q4,3.5,74.2,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.932,6.0,7.2,7.4,16.0,,,,,
E007,2026-Q1,3.5,84.1,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,0.943,6.0,3.7,7.4,13.0,,,,,
E008,2025-Q3,3.5,87.1,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,,,,,,69.2,94.63,7.0,79.0,0.94
E008,2025-Q4,4.0,86.6,Exceptional performance — drove several critical initiatives and demonstrated strong leadership presence.,,,,,,64.0,97.81,10.0,87.9,1.25
E008,2026-Q1,4.0,91.1,Exceptional performance — drove several critical initiatives and demonstrated strong leadership presence.,,,,,,68.4,100.0,9.0,93.5,0.74
E009,2025-Q3,2.5,60.0,Developing in the role. Good technical skills but needs support in communication and planning accuracy.,0.731,4.0,7.0,12.7,5.0,,,,,
E009,2025-Q4,3.0,81.9,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.787,6.0,6.1,6.3,9.0,,,,,
E009,2026-Q1,3.0,68.8,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.829,3.0,7.8,14.3,9.0,,,,,
E010,2025-Q3,3.0,56.7,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.805,4.0,6.9,16.6,6.0,,,,,
E010,2025-Q4,3.0,77.9,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,0.901,4.0,6.2,16.1,5.0,,,,,
E010,2026-Q1,3.0,72.6,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,0.861,6.0,3.1,12.1,8.0,,,,,
E011,2025-Q3,3.0,71.0,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.788,6.0,6.9,11.9,4.0,,,,,
E011,2025-Q4,3.0,67.7,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,0.749,6.0,4.6,6.8,12.0,,,,,
